project_short_title,milestone_title
Digital Transform,Ist-Zustandsbewertung
Digital Transform,Bewertung der digitalen Reife
Digital Transform,Entwicklung der strategischen Roadmap
Digital Transform,Technologie-Stack-Auswahl
Digital Transform,Pilotprojekt-Implementierung
Digital Transform,Prozess-Reengineering
Digital Transform,Mitarbeiterschulungsprogramm
Digital Transform,Vollständiger Rollout
Change Mgmt,Stakeholder-Analyse
Change Mgmt,Kommunikationsstrategie
Change Mgmt,Kulturbewertung
Change Mgmt,Führungsausrichtung
Change Mgmt,Change-Champion-Netzwerk
Change Mgmt,Training & Entwicklung
Change Mgmt,Integrationsplanung
Change Mgmt,Post-Merger-Bewertung
HR Analytics,Anforderungserhebung
HR Analytics,Datenquellen-Integration
HR Analytics,Entwicklung prädiktiver Modelle
HR Analytics,Analyse des Fluktuationsrisikos
HR Analytics,Bewertung der Qualifikationslücken
HR Analytics,Nachfolgeplanungstools
HR Analytics,Dashboard-Entwicklung
HR Analytics,HR-Team-Schulung
Customer XP,Customer-Journey-Mapping
Customer XP,Voice-of-Customer-Programm
Customer XP,Touchpoint-Analyse
Customer XP,Service-Design-Workshops
Customer XP,Prozessoptimierung
Customer XP,Technologie-Enablement
Customer XP,Metriken- & KPI-Framework
Customer XP,Einrichtung kontinuierlicher Verbesserung
Agile Scale,Agile-Reifegradassessment
Agile Scale,Framework-Auswahl
Agile Scale,Pilot-Team-Setup
Agile Scale,Coaching & Mentoring
Agile Scale,Tools & Infrastruktur
Agile Scale,Community of Practice
Agile Scale,Skalierung auf Unternehmensebene
Agile Scale,Erfolgsmessungs-Review
Cloud Strategy,Cloud-Readiness-Assessment
Cloud Strategy,Kosten-Nutzen-Analyse
Cloud Strategy,Multi-Cloud-Architektur
Cloud Strategy,Migrationspriorisierung
Cloud Strategy,Sicherheits- & Compliance-Review
Cloud Strategy,Migrationswelle 1
Cloud Strategy,Optimierung & FinOps
Cloud Strategy,Governance-Framework
Cyber Risk,Asset-Inventarisierung & Klassifizierung
Cyber Risk,Schwachstellenbewertung
Cyber Risk,Penetrationstest
Cyber Risk,Risikoquantifizierung
Cyber Risk,Sanierungsfahrplan
Cyber Risk,Implementierung von Sicherheitskontrollen
Cyber Risk,Incident-Response-Planung
Cyber Risk,Compliance-Validierung
Data Governance,Bewertung der Datenlandschaft
Data Governance,Governance-Framework-Design
Data Governance,Datenqualitätsregeln
Data Governance,Master Data Management
Data Governance,Metadaten-Management
Data Governance,Datenkatalog-Implementierung
Data Governance,Stewardship-Schulung
Data Governance,Überwachung & Berichterstattung
