title,legal_form_country_id,tax_number,country_id,state_name,city_name,postcode,street,building,optional
TechVision Solutions GmbH,332,DE298112457,332,Bavaria,Munich,80331,Sonnenstraße 54,Suite 3A,Building B - Floor 3
InnovateBridge Consulting AG,332,DE387456923,332,Berlin,Berlin,10115,Friedrichstraße 123,Office 5B,Ground Floor
CloudScale Systems GmbH,332,DE456789012,332,Hesse,Frankfurt,60311,Mainzer Landstraße 89,Suite 12,Tower A - 8th Floor
DataPulse Analytics GmbH,332,DE567890123,332,North Rhine-Westphalia,Cologne,50667,Ehrenstraße 45,Office 2C,Innovation Hub
SmartGrid Technologies AG,332,DE678901234,332,Baden-Württemberg,Stuttgart,70173,Königstraße 78,Suite 9,Tech Campus
QuantumLeap Engineering GmbH,332,DE789012345,332,Hamburg,Hamburg,20095,Mönckebergstraße 12,Office 4D,Business Center
SecureNet Solutions AG,332,DE890123456,332,Bavaria,Nuremberg,90402,Königstraße 33,Suite 7A,Digital Quarter
EcoSmart Industries GmbH,332,DE901234567,332,Saxony,Dresden,01067,Prager Straße 56,Office 11B,Sustainability Hub
AutoTech Innovations AG,332,DE123456780,332,Lower Saxony,Hanover,30159,Georgstraße 89,Suite 6C,Mobility Center
BioMed Research GmbH,332,DE234567801,332,Bavaria,Munich,80807,Leopoldstraße 145,Office 3E,Research Park
